quarter,row_id,label,unweighted,weighted,bank,source_file,unit,unweighted_inr_crore,weighted_inr_crore
2025-12-31,12,Total Cash Inflows,3360481.44,2658836.23,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,336048.14400000003,265883.623
2025-09-30,12,Total Cash Inflows,2643201.9,2059387.4,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,264320.19,205938.74
2025-06-30,12,Total Cash Inflows,3009040.52,2386159.97,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,300904.052,238615.99700000003
2025-12-31,13,TOTAL HQLA,,7486020.97,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,,748602.0970000001
2025-09-30,13,TOTAL HQLA,,7642633.65,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,,764263.3650000001
2025-06-30,13,TOTAL HQLA,,7993405.46,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,,799340.5460000001
2025-12-31,14,Total Net Cash Outflows,,6449896.84,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,,644989.684
2025-09-30,14,Total Net Cash Outflows,,6383976.12,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,,638397.6120000001
2025-06-30,14,Total Net Cash Outflows,,6457819.41,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,,645781.9410000001
2025-12-31,15,Liquidity Coverage Ratio,,116.06,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,,11.606000000000002
2025-09-30,15,Liquidity Coverage Ratio,,119.72,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,,11.972000000000001
2025-06-30,15,Liquidity Coverage Ratio,,123.78,HDFC Bank,hdfc_bank_q4fy26_mar2026.pdf,million,,12.378
2026-06-30,1,Total High Quality Liquid Assets,,105273.95,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,,105273.95
2026-06-30,2,Retail deposits,190165.36,22308.77,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,190165.36,22308.77
2026-06-30,2i,Stable deposits,8936.59,647.79,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,8936.59,647.79
2026-06-30,2ii,Less stable deposits,181228.78,21660.98,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,181228.78,21660.98
2026-06-30,3,Unsecured wholesale funding,131444.03,71469.57,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,131444.03,71469.57
2026-06-30,3i,Operational deposits,0.0,0.0,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,0.0,0.0
2026-06-30,3ii,Non-operational deposits,131444.03,71469.57,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,131444.03,71469.57
2026-06-30,3iii,Unsecured debt,0.0,0.0,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,0.0,0.0
2026-06-30,4,Secured wholesale funding,,0.0,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,,0.0
2026-06-30,5,Additional requirements,20762.08,20762.08,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,20762.08,20762.08
2026-06-30,5i,collateral,20762.08,20762.08,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,20762.08,20762.08
2026-06-30,5ii,loss of funding,0.0,0.0,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,0.0,0.0
2026-06-30,5iii,Credit and liquidity facilities,0.0,0.0,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,0.0,0.0
2026-06-30,6,Other contractual funding,10187.78,10187.78,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,10187.78,10187.78
2026-06-30,7,Other contingent funding,248312.29,12671.51,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,248312.29,12671.51
2026-06-30,8,Total Cash Outflows,,137399.71,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,,137399.71
2026-06-30,9,Secured lending,9293.98,0.0,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,9293.98,0.0
2026-06-30,10,Inflows from fully performing,65256.5,54284.03,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,65256.5,54284.03
2026-06-30,11,Other cash inflows,0.0,0.0,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,0.0,0.0
2026-06-30,12,Total Cash Inflows,,54284.03,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,,54284.03
2026-06-30,13,TOTAL HQLA,,105273.95,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,,105273.95
2026-06-30,14,Total Net Cash Outflows,,83115.68,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,,83115.68
2026-06-30,15,Liquidity Coverage Ratio,,126.66,IndusInd Bank,indusind_bank_q1fy27_jun2026.pdf,crore,,126.66
2026-03-31,1,Total High Quality Liquid Assets,,114559.25,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,,114559.25
2025-12-31,1,Total High Quality Liquid Assets,,112954.0,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,,112954.0
2025-09-30,1,Total High Quality Liquid Assets,,127910.2,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,,127910.2
2025-06-30,1,Total High Quality Liquid Assets,,135463.71,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,,135463.71
2026-03-31,2,Retail deposits,182898.23,17851.3,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,182898.23,17851.3
2025-12-31,2,Retail deposits,180112.67,17575.26,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,180112.67,17575.26
2025-09-30,2,Retail deposits,180475.08,17616.68,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,180475.08,17616.68
2025-06-30,2,Retail deposits,180678.05,17646.56,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,180678.05,17646.56
2026-03-31,2i,Stable deposits,8770.45,438.52,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,8770.45,438.52
2025-12-31,2i,Stable deposits,8720.04,436.0,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,8720.04,436.0
2025-09-30,2i,Stable deposits,8616.52,430.83,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,8616.52,430.83
2025-06-30,2i,Stable deposits,8424.81,421.24,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,8424.81,421.24
2026-03-31,2ii,Less stable deposits,174127.78,17412.78,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,174127.78,17412.78
2025-12-31,2ii,Less stable deposits,171392.63,17139.26,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,171392.63,17139.26
2025-09-30,2ii,Less stable deposits,171858.56,17185.86,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,171858.56,17185.86
2025-06-30,2ii,Less stable deposits,172253.24,17225.32,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,172253.24,17225.32
2026-03-31,3,Unsecured wholesale funding,136344.02,81319.74,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,136344.02,81319.74
2025-12-31,3,Unsecured wholesale funding,133377.24,76396.9,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,133377.24,76396.9
2025-09-30,3,Unsecured wholesale funding,133435.34,76384.91,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,133435.34,76384.91
2025-06-30,3,Unsecured wholesale funding,132306.54,74390.46,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,132306.54,74390.46
2026-03-31,3i,Operational deposits,0.0,0.0,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,0.0,0.0
2025-12-31,3i,Operational deposits,0.0,0.0,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,0.0,0.0
2025-09-30,3i,Operational deposits,0.0,0.0,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,0.0,0.0
2025-06-30,3i,Operational deposits,0.0,0.0,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,0.0,0.0
2026-03-31,3ii,Non-operational deposits,136344.02,81319.74,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,136344.02,81319.74
2025-12-31,3ii,Non-operational deposits,133377.24,76396.9,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,133377.24,76396.9
2025-09-30,3ii,Non-operational deposits,133435.34,76384.91,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,133435.34,76384.91
2025-06-30,3ii,Non-operational deposits,132306.54,74390.46,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,132306.54,74390.46
2026-03-31,3iii,Unsecured debt,0.0,0.0,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,0.0,0.0
2025-12-31,3iii,Unsecured debt,0.0,0.0,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,0.0,0.0
